dept,name,year,placement,source_url
dyson,Rhiannon Jerch,2019,Assistant Professor at Temple University,https://dyson.cornell.edu/programs/graduate/placements/
dyson,Seolle Park,2019,Postdoctoral Fellow at Harvard University,https://dyson.cornell.edu/programs/graduate/placements/
dyson,Jing Qian,2019,Risk Management Associate at Morgan Stanley,https://dyson.cornell.edu/programs/graduate/placements/
dyson,Vidya Vemireddy,2019,Assistant Professor at IIMA,https://dyson.cornell.edu/programs/graduate/placements/
dyson,Jakina Debnam,2018,"Assistant Professor of Economics at Amherst College, Amherst, MA",https://dyson.cornell.edu/programs/graduate/placements/
dyson,Ryan Finseth,2018,"Economist/Air Quality Specialist at South Coast Air Quality Management District, CA State Gov.’t, Diamond Bar, CA",https://dyson.cornell.edu/programs/graduate/placements/
dyson,Oleg Firsin,2018,"Assistant Professor of Economics at University of Maryland, Baltimore County, Baltimore, MD",https://dyson.cornell.edu/programs/graduate/placements/
dyson,Juan Nicolas Hernandez-Aguilera,2018,"Earth Institute Postdoctoral Fellow at The Earth Institute, Columbia University, New York, NY",https://dyson.cornell.edu/programs/graduate/placements/
dyson,Erwin Knippenberg,2018,"Lead Economist at Cooper/Smith, Washington, D.C.",https://dyson.cornell.edu/programs/graduate/placements/
dyson,Yanan Li,2018,"Assistant Professor of Economics at Beijing Normal University, Beijing, China",https://dyson.cornell.edu/programs/graduate/placements/
dyson,Linden McBride,2018,"Assistant Professor of Economics at St. Mary’s College of Maryland, St. Mary’s City, MD",https://dyson.cornell.edu/programs/graduate/placements/
dyson,David Murphy,2018,"Assistant Professor of Economics at University of Evansville, Schroeder School of Business, Evansville, IN",https://dyson.cornell.edu/programs/graduate/placements/
dyson,Steven Otto,2018,"Economist at ISO New England, Holyoke, MA",https://dyson.cornell.edu/programs/graduate/placements/
dyson,Kai Wu,2018,"Assistant Professor of Finance at Central University of Finance and Economics, Beijing, China",https://dyson.cornell.edu/programs/graduate/placements/
dyson,Jianwei Xing,2018,"Assistant Professor at Peking University, Beijing, China",https://dyson.cornell.edu/programs/graduate/placements/
dyson,Jennifer Cisse,2017,"Senior Risk Advisor at USAID, Washington, D.C.",https://dyson.cornell.edu/programs/graduate/placements/
dyson,Xiaoli Fan,2017,"Assistant Professor at University of Alberta, Canada",https://dyson.cornell.edu/programs/graduate/placements/
dyson,Jie Li,2017,"Research Associate at Cornell University, Charles H. Dyson School of Applied Economics and Management",https://dyson.cornell.edu/programs/graduate/placements/
dyson,Ellen McCullough,2017,"Assistant Professor at University of Georgia, Department of Agricultural and Applied Economics",https://dyson.cornell.edu/programs/graduate/placements/
dyson,Tanvi Rao,2017,"Research Associate at IMPAQ International, Washington, D.C.",https://dyson.cornell.edu/programs/graduate/placements/
dyson,Yiwei Wang,2017,Data Analyst at Center for Governmental Research,https://dyson.cornell.edu/programs/graduate/placements/
dyson,Di Wu,2017,"Principal Consultant at Edgeworth Economics, Washington, D.C.",https://dyson.cornell.edu/programs/graduate/placements/
dyson,Leah Bevis,2016,"Assistant Professor at Ohio State University, Department of Agricultural, Environmental and Development Economics",https://dyson.cornell.edu/programs/graduate/placements/
dyson,Justin Choe,2016,"Economist at Global Commodity Analysis Division, Office of Global Analysis, Foreign Agricultural Service, U.S. Dept. of Agriculture",https://dyson.cornell.edu/programs/graduate/placements/
dyson,Soumya Gupta,2016,Post Doctoral Fellow at Tata-Cornell Agriculture and Nutrition Initiative,https://dyson.cornell.edu/programs/graduate/placements/
dyson,Richard Klotz,2016,"Assistant Professor at Colgate University, Department of Economics",https://dyson.cornell.edu/programs/graduate/placements/
dyson,Andrew Simons,2016,"Assistant Professor at Fordham University, Department of Economics",https://dyson.cornell.edu/programs/graduate/placements/
dyson,Vidhya Soundararajan,2016,"Assistant Professor, Economics and Social Sciences at Indian Institute of Management Bangalore",https://dyson.cornell.edu/programs/graduate/placements/
dyson,Nadia Streletskaya,2016,"Assistant Professor at Oregon State University, Applied Economics Department",https://dyson.cornell.edu/programs/graduate/placements/
dyson,Andrew Waxman,2016,"Assistant Professor at Arizona State University, School of Public Affairs",https://dyson.cornell.edu/programs/graduate/placements/
dyson,Dennis Becker,2015,Associate at Dean & Company,https://dyson.cornell.edu/programs/graduate/placements/
dyson,Samuel Bell,2015,Co-Founder & CEO at Vitalite Zambia Limited,https://dyson.cornell.edu/programs/graduate/placements/
dyson,Julia Berazneva,2015,Assistant Professor at Middlebury College,https://dyson.cornell.edu/programs/graduate/placements/
dyson,Teevrat Garg,2015,"Assistant Professor at University of California, San Diego",https://dyson.cornell.edu/programs/graduate/placements/
dyson,Hao Lu,2015,Senior Quantitative Analyst at Pacific Gas & Electric Company,https://dyson.cornell.edu/programs/graduate/placements/
dyson,Pimbucha Rusmevichientong,2015,Assistant Professor at California State University,https://dyson.cornell.edu/programs/graduate/placements/
dyson,Parul Sharma,2015,Financial Economist at U.S. Securities & Exchange Commission,https://dyson.cornell.edu/programs/graduate/placements/
dyson,Lin Sun,2015,AVP Risk Management at Industrial and Commercial Bank of China,https://dyson.cornell.edu/programs/graduate/placements/
dyson,Joanna Upton,2015,"Post-Doctoral Associate at Dyson School, Cornell University",https://dyson.cornell.edu/programs/graduate/placements/
dyson,Jubo Yan,2015,Assistant Professor at Nanyang Technological University,https://dyson.cornell.edu/programs/graduate/placements/
berkeley,Chiman Cheung,2026,"Post Doctoral Scholar at University of California, Berkeley",https://are.berkeley.edu/job-candidates/past-placements
berkeley,Simon Greenhill,2026,Assistant Professor (starting in 2028) at Monash University,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Lucy Hackett,2026,Research Economist at Banco de MÃ©xico,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Jacob Lefler,2026,International Economist at U.S. International Trade Commission,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Kendra Marcoux,2026,Associate at Cornerstone Research,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Elif Tasar,2026,Economist at Andersen Institute for Finance and Economics,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Shreya Sarkar,2026,Senior Associate at Charles River Associates,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Elena Marie Stacy,2026,Post Doctoral Research Fellow at University of Notre Dame,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Arthur Wardle,2026,Assistant Professor at Montana State University,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Trevor Woolley,2026,Assistant Professor at University of Wisconsin Madison,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Shuo Yu,2026,Postdoctoral Associate at Cornell University,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Becky Cardinali,2025,Data Scientist at Pinterest,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Abdoulaye Cisse,2025,Visiting Scholar (2025-26) at Princeton University,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Joel Ferguson,2025,"Assistant Professor at University of Wisconsin, Madison",https://are.berkeley.edu/job-candidates/past-placements
berkeley,Yuen Ho,2025,Assistant Professor at Trinity College Dublin,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Connor Jackson,2025,Contract Enforcement Lead at United Auto Workers Local 4811,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Post Doctoral Placement,2025,NA,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Guglielmo Zappala,2025,Assistant Professor (starting in 2026) at Bocconi University,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Daniel Agness,2024,Assistant Professor at University of Maryland,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Pierre Biscaye,2024,Chaire Professeur Junior at UniversitÃ© Clermont-Auvergne,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Jesse Buchsbaum,2024,Fellow at Resources for The Future,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Michelle Chen,2024,Economist at World Bank,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Daniel Kannell,2024,Economist at Government Accountability Office,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Subrata Kumar Ritadhi,2024,Assistant Professor at Occidental College,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Leila Safavi,2024,Post Doctoral Scholar (2024-25) at New York University,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Jedediah Silver,2024,Assistant Professor at The Hebrew University of Jerusalem,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Livia Alfonsi,2023,Assistant Professor at Harvard University,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Marshall Macdonald Blundell,2023,Senior Consultant at Demand Side Analytics,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Joel Ferguson,2023,"Post Doctoral Researcher at University of California, Berkeley",https://are.berkeley.edu/job-candidates/past-placements
berkeley,Hal Gordon,2023,Consultant at Demand Side Analysis,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Wei Guo,2023,Post-Doctoral Scholar (2023-2025) at RFF-CMCC European Institute on Economics and the Environment,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Qingyang Huang,2023,Assistant Professor at Peking University,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Jenya Kahn-Lang,2023,Post-Doctoral Scholar (2023-24) at Stanford University,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Jaecheol Lee,2023,Post Doctoral Researcher at The University of Chicago,https://are.berkeley.edu/job-candidates/past-placements
berkeley,James E. Sayre,2023,"Assistant Professor of CE/Specialist in Food Supply Chains at University of California, Davis",https://are.berkeley.edu/job-candidates/past-placements
berkeley,Wenjun Wang,2023,Machine Learning Scientist at Wayfair,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Eleanor Wiseman,2023,Post-Doctoral Scholar (2023-2025) at Stanford University,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Post Doctoral Placement,2023,NA,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Bobby Harris,2023,Assistant Professor at Georgia Institute of Technology,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Jesse Buchsbaum,2022,Post Doctoral Scholar at The University of Chicago,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Yulei Shelley He,2022,Economist at Amazon,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Andrew Hultgren,2022,"Assistant Professor at University of Illinois, Urbana Champaign",https://are.berkeley.edu/job-candidates/past-placements
berkeley,Wei Lin,2022,"Assistant Professor at The Chinese University of Hong Kong, Shenzhen",https://are.berkeley.edu/job-candidates/past-placements
berkeley,Wenfeng Qiu,2022,Senior Economist at SiriusXM/Pandora,https://are.berkeley.edu/job-candidates/past-placements
berkeley,James Sears,2022,Assistant Professor at Michigan State University,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Molly Van Dop Sears,2022,Assistant Professor at Michigan State University,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Matthew Suandi,2022,Economist at Federal Housing Finance Agency,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Matthew Tarduno,2022,Post Doctoral Scholar (2022-2023 ) at Harvard University,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Carly Trachtman,2022,Associate Research Fellow at International Food Policy Research Institute (IFPRI),https://are.berkeley.edu/job-candidates/past-placements
berkeley,SÃ©bastien Annan-Phan,2021,Research Scientist,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Karl Dunkle Werner,2021,Economist at U.S. Department of the Treasury,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Hannah Druckenmiller,2021,Fellow at Resources for the Future,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Gabriel Englander,2021,"Post Doctoral Scholar (2021-2022) at University California, Santa Barbara",https://are.berkeley.edu/job-candidates/past-placements
berkeley,Luna Yue Huang,2021,Data Scientist at Waymo (Google),https://are.berkeley.edu/job-candidates/past-placements
berkeley,Scott Kaplan,2021,Assistant Professor at U. S. Naval Academy,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Benjamin Krause,2021,Director at University of Chicago,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Megan Lang,2021,Post Doctoral Scholar (2021-2022) at JPAL,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Peiley Lau,2021,Environmental Economist at Environmental Protection Agency,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Ryan Olver,2021,Research Agricultural Economist at United States Department of Agriculture,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Kate Pennington,2021,Economist at U. S. Census,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Vaishnavi Surendra,2021,Post Doctoral Researcher at Precision Agriculture for Development,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Catherine Wright,2021,"Senior Data Scientist at Aetna, a CVS Health Company",https://are.berkeley.edu/job-candidates/past-placements
berkeley,Post Doctoral Placement,2021,NA,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Ariel Zucker,2021,"Assistant Professor at University of California, Santa Cruz",https://are.berkeley.edu/job-candidates/past-placements
berkeley,Susanna Berkouwer,2020,"Assistant Professor at The Wharton School of Business, University of Pennsylvania",https://are.berkeley.edu/job-candidates/past-placements
berkeley,LÃ©opold Biardeau,2020,"AttachÃ© Temporaire d'Enseignement et de Recherche, at UniversitÃ© de la PolynÃ©sie FranÃ§aise, Tahiti",https://are.berkeley.edu/job-candidates/past-placements
berkeley,Claire Duquennois,2020,Assistant Professor at University of Pittsburgh,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Kwabena Donkor,2020,"Assistant Professor at Stanford GSB, Stanford University",https://are.berkeley.edu/job-candidates/past-placements
berkeley,Andy Hultgren,2020,Post Doctoral Scholar at University of Chicago,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Reid Johnsen,2020,Research Data Specialist at California Department of Tax and Fee Administration,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Elisa Duran Micco,2020,Post Doctoral Scholar at University of Chile,https://are.berkeley.edu/job-candidates/past-placements
berkeley,David McLaughlin,2020,Economist at Environmental Defense Fund,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Matthew Pecenco,2020,Assistant Professor at Brown University,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Deepak Premkumar,2020,Research Fellow at Public Policy Institute of California,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Manaswini Rao,2020,"Post Doctoral Scholar at University of California, San Diego",https://are.berkeley.edu/job-candidates/past-placements
berkeley,Vaishnavi Surendra,2020,"Post Doctoral Scholar at University of California, Berkeley",https://are.berkeley.edu/job-candidates/past-placements
berkeley,Post Doctoral Placement,2020,NA,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Aluma Dembo,2020,"Lecturer (Assistant Professor) at IDC, Herzliya",https://are.berkeley.edu/job-candidates/past-placements
berkeley,Nick Hagerty,2020,Assistant Professor at Montana State University,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Dina Gorenshteyn,2019,Economist Intern at Amazon,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Stephen Harrell,2019,Quantitative Researcher at Facebook,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Jonathan Kadish,2019,Visiting Profgessor of Statistics at Reed College,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Erin Kelley,2019,Economist at World Bank,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Gregory Lane,2019,Asst. Professor at American University,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Ellen Lin,2019,Economist at Amazon,https://are.berkeley.edu/job-candidates/past-placements
berkeley,John Loeser,2019,Economist at World Bank,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Jonathan Proctor (ERE)2020 AAEA Outstanding Doctoral Dissertation Award,2019,Data Science Post Doctoral Fellow at Harvard University,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Allyson Barnett Root,2019,Economist II at Amazon,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Deirdre Sutula,2019,Economist at United States Government Accountability Office,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Daniel Tregeagle,2019,Asst. Professor at North Carolina State University,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Itai Trilnick,2019,Data Scientist at Google,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Shaoda Wang,2019,Post Doctoral Scholar at The University of Chicago,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Matt Woerman,2019,"Asst. Professor at U Mass, Amherst",https://are.berkeley.edu/job-candidates/past-placements
berkeley,Post Doctoral Placement,2019,Post Doctoral Placement at Post Doctoral Placement,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Adrien Bouguen,2019,Asst. Professor at Santa Clara University,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Danamona Andrianarimanana,2018,Research Specialist at California Dept. of Finance,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Ceren Baysan,2018,Post Doctoral Scholar at Harvard University,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Narayan Das,2018,Sr. Research Fellow at BRAC Bangladesh,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Tamma Carleton2019 AAEA Outstanding Doctoral Dissertation Award,2018,Post Doctoral Scholar at Univeristy of Chicago,https://are.berkeley.edu/job-candidates/past-placements
berkeley,James Gillan,2018,Economist at Amazon,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Ernesto Guerra-Vallejos,2018,Assistant Professor at Milwaukee School of Engineering,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Dan Hammer,2018,Fellow at National Geographic Society,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Zhimin Li,2018,Asst. Professor at Peking University,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Louis Preonas,2018,Post Doctoral Scholar at University of Chicago,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Elizabeth Ramirez-Ritchie,2018,Data Scientist at AIRBNB,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Ed Rubin,2018,Asst. Professor at University of Oregon,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Kendon Bell,2017,"Economist at Auckland, New Zealand",https://are.berkeley.edu/job-candidates/past-placements
berkeley,Joshua Blonz,2017,Post Doctoral Scholar at Resources for the Future,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Fiona Burlig,2017,Post Doctoral Scholar at University of Chicago,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Elliott Collins,2017,Economist at Kiva Microfunds,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Aluma Dembo,2017,Nuffield Postdoctoral Research Fellow at University of Oxford,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Xiaoxue Du,2017,Assistant Professor at University of Idaho,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Seth Garz,2017,Post-Doctoral Fellowship at UC Berkeley,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Sylvan Herskowitz,2017,Associate Research Fellow at International Food Policy Research Institute (IFPRI),https://are.berkeley.edu/job-candidates/past-placements
berkeley,Liang Lu,2017,Assistant Professor at University of Idaho,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Xi Lu,2017,Assistant Professor at National University of Singapore,https://are.berkeley.edu/job-candidates/past-placements
