name,year,placement,source_url
Haseeb Ali,2024,Senior Data Scientist at Securian Financial,https://apec.umn.edu/graduate/placement-recent-graduates
Kenn Chua,2024,Economist at Amazon,https://apec.umn.edu/graduate/placement-recent-graduates
Kadidatou Doucoure,2024,Assistant Professor at Loyola University Maryland,https://apec.umn.edu/graduate/placement-recent-graduates
Jhih-Yun Liu,2024,Assistant Professor at University of Connecticut,https://apec.umn.edu/graduate/placement-recent-graduates
SongYi Paik,2024,Assistant Extension Agent at University of Hawai'i,https://apec.umn.edu/graduate/placement-recent-graduates
Khoa Vu,2024,Economist at Charles River Associates,https://apec.umn.edu/graduate/placement-recent-graduates
