name,year,placement,source_url
Chiman Cheung,2026,"Post Doctoral Scholar at University of California, Berkeley",https://are.berkeley.edu/job-candidates/past-placements
Simon Greenhill,2026,Assistant Professor (starting in 2028) at Monash University,https://are.berkeley.edu/job-candidates/past-placements
Lucy Hackett,2026,Research Economist at Banco de M̩xico,https://are.berkeley.edu/job-candidates/past-placements
Jacob Lefler,2026,International Economist at U.S. International Trade Commission,https://are.berkeley.edu/job-candidates/past-placements
Kendra Marcoux,2026,Associate at Cornerstone Research,https://are.berkeley.edu/job-candidates/past-placements
Elif Tasar,2026,Economist at Andersen Institute for Finance and Economics,https://are.berkeley.edu/job-candidates/past-placements
Shreya Sarkar,2026,Senior Associate at Charles River Associates,https://are.berkeley.edu/job-candidates/past-placements
Elena Marie Stacy,2026,Post Doctoral Research Fellow at University of Notre Dame,https://are.berkeley.edu/job-candidates/past-placements
Arthur Wardle,2026,Assistant Professor at Montana State University,https://are.berkeley.edu/job-candidates/past-placements
Trevor Woolley,2026,Assistant Professor at University of Wisconsin Madison,https://are.berkeley.edu/job-candidates/past-placements
Shuo Yu,2026,Postdoctoral Associate at Cornell University,https://are.berkeley.edu/job-candidates/past-placements
Becky Cardinali,2025,Data Scientist at Pinterest,https://are.berkeley.edu/job-candidates/past-placements
Abdoulaye Cisse,2025,Visiting Scholar (2025-26) at Princeton University,https://are.berkeley.edu/job-candidates/past-placements
Joel Ferguson,2025,"Assistant Professor at University of Wisconsin, Madison",https://are.berkeley.edu/job-candidates/past-placements
Yuen Ho,2025,Assistant Professor at Trinity College Dublin,https://are.berkeley.edu/job-candidates/past-placements
Connor Jackson,2025,Contract Enforcement Lead at United Auto Workers Local 4811,https://are.berkeley.edu/job-candidates/past-placements
Post Doctoral Placement,2025,,https://are.berkeley.edu/job-candidates/past-placements
Guglielmo Zappala,2025,Assistant Professor (starting in 2026) at Bocconi University,https://are.berkeley.edu/job-candidates/past-placements
Daniel Agness,2024,Assistant Professor at University of Maryland,https://are.berkeley.edu/job-candidates/past-placements
Pierre Biscaye,2024,Chaire Professeur Junior at Universit̩ Clermont-Auvergne,https://are.berkeley.edu/job-candidates/past-placements
Jesse Buchsbaum,2024,Fellow at Resources for The Future,https://are.berkeley.edu/job-candidates/past-placements
Michelle Chen,2024,Economist at World Bank,https://are.berkeley.edu/job-candidates/past-placements
Daniel Kannell,2024,Economist at Government Accountability Office,https://are.berkeley.edu/job-candidates/past-placements
Subrata Kumar Ritadhi,2024,Assistant Professor at Occidental College,https://are.berkeley.edu/job-candidates/past-placements
Leila Safavi,2024,Post Doctoral Scholar (2024-25) at New York University,https://are.berkeley.edu/job-candidates/past-placements
Jedediah Silver,2024,Assistant Professor at The Hebrew University of Jerusalem,https://are.berkeley.edu/job-candidates/past-placements
Livia Alfonsi,2023,Assistant Professor at Harvard University,https://are.berkeley.edu/job-candidates/past-placements
Marshall Macdonald Blundell,2023,Senior Consultant at Demand Side Analytics,https://are.berkeley.edu/job-candidates/past-placements
Joel Ferguson,2023,"Post Doctoral Researcher at University of California, Berkeley",https://are.berkeley.edu/job-candidates/past-placements
Hal Gordon,2023,Consultant at Demand Side Analysis,https://are.berkeley.edu/job-candidates/past-placements
Wei Guo,2023,Post-Doctoral Scholar (2023-2025) at RFF-CMCC European Institute on Economics and the Environment,https://are.berkeley.edu/job-candidates/past-placements
Qingyang Huang,2023,Assistant Professor at Peking University,https://are.berkeley.edu/job-candidates/past-placements
Jenya Kahn-Lang,2023,Post-Doctoral Scholar (2023-24) at Stanford University,https://are.berkeley.edu/job-candidates/past-placements
Jaecheol Lee,2023,Post Doctoral Researcher at The University of Chicago,https://are.berkeley.edu/job-candidates/past-placements
James E. Sayre,2023,"Assistant Professor of CE/Specialist in Food Supply Chains at University of California, Davis",https://are.berkeley.edu/job-candidates/past-placements
Wenjun Wang,2023,Machine Learning Scientist at Wayfair,https://are.berkeley.edu/job-candidates/past-placements
Eleanor Wiseman,2023,Post-Doctoral Scholar (2023-2025) at Stanford University,https://are.berkeley.edu/job-candidates/past-placements
Post Doctoral Placement,2023,,https://are.berkeley.edu/job-candidates/past-placements
Bobby Harris,2023,Assistant Professor at Georgia Institute of Technology,https://are.berkeley.edu/job-candidates/past-placements
Jesse Buchsbaum,2022,Post Doctoral Scholar at The University of Chicago,https://are.berkeley.edu/job-candidates/past-placements
Yulei Shelley He,2022,Economist at Amazon,https://are.berkeley.edu/job-candidates/past-placements
Andrew Hultgren,2022,"Assistant Professor at University of Illinois, Urbana Champaign",https://are.berkeley.edu/job-candidates/past-placements
Wei Lin,2022,"Assistant Professor at The Chinese University of Hong Kong, Shenzhen",https://are.berkeley.edu/job-candidates/past-placements
Wenfeng Qiu,2022,Senior Economist at SiriusXM/Pandora,https://are.berkeley.edu/job-candidates/past-placements
James Sears,2022,Assistant Professor at Michigan State University,https://are.berkeley.edu/job-candidates/past-placements
Molly Van Dop Sears,2022,Assistant Professor at Michigan State University,https://are.berkeley.edu/job-candidates/past-placements
Matthew Suandi,2022,Economist at Federal Housing Finance Agency,https://are.berkeley.edu/job-candidates/past-placements
Matthew Tarduno,2022,Post Doctoral Scholar (2022-2023 ) at Harvard University,https://are.berkeley.edu/job-candidates/past-placements
Carly Trachtman,2022,Associate Research Fellow at International Food Policy Research Institute (IFPRI),https://are.berkeley.edu/job-candidates/past-placements
S̩bastien Annan-Phan,2021,Research Scientist,https://are.berkeley.edu/job-candidates/past-placements
Karl Dunkle Werner,2021,Economist at U.S. Department of the Treasury,https://are.berkeley.edu/job-candidates/past-placements
